system:index,LST,NDBI,NDVI,albedo,bare,bheight,builtup,dist_water,.geo
14350,42.434399632099066,-0.0022469503,0.28032395,0.15840926813484227,0.0,13.919692,0.49111894,3981.2058474788764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24959106853197,13.084039795201965]}"
14351,43.17024806779881,-2.1393662E-5,0.30266854,0.16633256461610713,0.0,13.942635,0.44441828,3891.015291668744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25051345777459,13.08404247455778]}"
14352,43.83901786099972,0.053270966,0.23432371,0.16264730910431144,0.009999999999981815,12.703932,0.51660115,3801.3155617496423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25143584722261,13.084045150618875]}"
14353,44.099436804800135,0.08249201,0.1909752,0.17332927295767322,0.0,11.015879,0.51944417,3712.142238654117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25235823687578,13.084047823385246]}"
14354,43.282666745600025,0.017035412,0.25956416,0.17634380171010747,0.0,10.351172,0.559522,3623.5341863986873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25328062673383,13.08405049285689]}"
14355,43.634193012500695,-0.026940165,0.34517995,0.14902092160431038,0.0,11.414898,0.34499195,3535.533905932738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2542030167965,13.084053159033807]}"
14356,43.365690451401875,-0.013551289,0.3004905,0.16765309323327635,0.0,12.5652275,0.39650616,3448.1879299133334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25512540706355,13.084055821915987]}"
14357,43.458284613201926,-0.005123545,0.30263066,0.16689100570866028,0.0,12.277407,0.43428668,3361.547262794322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25604779753472,13.08405848150343]}"
14358,43.88704104200108,-0.015373123,0.3216777,0.1661322430856384,0.0,11.046658,0.4427938,3275.6678708318395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25697018820976,13.084061137796134]}"
14359,43.68424991540013,-0.024313806,0.29766047,0.16231262814957537,0.0,10.444866,0.4595018,3190.6112267087633,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25789257908843,13.084063790794096]}"
14360,44.124080728999594,-0.028892787,0.35528508,0.1719721076279494,0.0,11.169562,0.30444822,3106.444913401813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25881497017048,13.084066440497308]}"
14361,44.26565511740005,0.021605007,0.38158184,0.19617199841292676,0.0,12.750505,0.19228321,3023.243291566195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25973736145562,13.08406908690577]}"
14362,43.329732881000396,-0.032020517,0.36967698,0.16883571083908097,0.0,14.482569,0.27162892,2941.0882339705486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26065975294362,13.08407173001948]}"
14363,42.21328791829993,-0.073303625,0.3924743,0.15553051616633276,0.0,16.054499,0.3565567,2860.0699292150184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26158214463425,13.08407436983843]}"
14364,42.26992450969994,-0.023866912,0.26374212,0.16032960923967865,0.0,17.229355,0.4239895,2780.287754891569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26250453652722,13.084077006362621]}"
14365,42.31963961060035,-0.029559495,0.2978507,0.16928218511323354,0.0,17.442066,0.5033811,2701.851217221259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26342692862231,13.084079639592048]}"
14366,42.1448933381007,-0.067913726,0.44769442,0.15331044969242139,0.0,16.234402,0.29459277,2624.8809496813374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26434932091922,13.084082269526707]}"
14367,43.39050527659861,0.063438594,0.22887206,0.1639005550196714,0.010000000000072765,14.618941,0.40733704,2549.5097567963926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26527171341776,13.084084896166598]}"
14368,44.0861065267992,0.07929531,0.20045133,0.15480962572587134,0.0,12.875886,0.4699797,2475.8836806279896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26619410611764,13.084087519511712]}"
14369,44.29910044309964,0.051870078,0.20567247,0.16011199640748713,0.0,11.042846,0.4258507,2404.1630560342614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2671164990186,13.08409013956205]}"
14370,44.746673071999865,0.102729805,0.1803571,0.16337814325787975,0.010000000000072765,11.213788,0.41005412,2334.5235059857505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2680388921204,13.084092756317608]}"
